,Positive Score,Negative Score,Player,Pos,Squad,Season,Comp,PlayerScore
0,-12.334484245148829,-2.4294352555059446,Max Aarons,DF,Bournemouth,2023,Premier League,-9.905048989642884
1,-8.080715287503052,7.723944529071207,Brenden Aaronson,"MF,FW",Union Berlin,2023,Bundesliga,-15.804659816574258
2,-35.55086875383207,-6.957113586668793,Paxten Aaronson,MF,Eint Frankfurt,2023,Bundesliga,-28.593755167163277
3,38.56744913516068,3.7347962231572307,Yunis Abdelhamid,DF,Reims,2023,Ligue 1,34.83265291200345
4,-0.2743748169196246,4.527851099728705,Salis Abdul Samed,MF,Lens,2023,Ligue 1,-4.80222591664833
5,52.38913769247631,5.446404452878866,Laurent Abergel,MF,Lorient,2023,Ligue 1,46.942733239597445
6,-15.913318578857568,-3.6912987632079752,Matthis Abline,FW,Nantes,2023,Ligue 1,-12.222019815649594
7,-7.874707220324361,-1.3113590750181787,Abner,DF,Betis,2023,La Liga,-6.563348145306183
8,-24.62264336459586,-3.331446229821559,Zakaria Aboukhlal,"MF,FW",Toulouse,2023,Ligue 1,-21.2911971347743
9,-3.9360984308414575,6.477833532051745,Abdel Abqar,DF,Alavés,2023,La Liga,-10.413931962893203
10,-67.25162472853961,-10.359102380482033,Tammy Abraham,FW,Roma,2023,Serie A,-56.892522348057575
11,24.52593369782655,-5.11758189106926,Francesco Acerbi,DF,Inter,2023,Serie A,29.64351558889581
12,-4.734318163538271,-4.673423205875883,Marcos Acuña,DF,Sevilla,2023,La Liga,-0.06089495766238784
13,-29.11825274517021,-3.6217641308907558,Bénie Adama Traore,"FW,MF",Sheffield Utd,2023,Premier League,-25.496488614279453
14,-30.92790585220749,-4.057496562787318,Bénie Adama Traore,"FW,MF",Nantes,2023,Ligue 1,-26.870409289420174
15,-10.570281204206484,7.854385949379594,Akor Adams,FW,Montpellier,2023,Ligue 1,-18.42466715358608
16,-38.333222442303864,-10.1668462023543,Tyler Adams,MF,Bournemouth,2023,Premier League,-28.166376239949564
17,-48.06430084235619,-6.776372969655198,Junior Adamu,"FW,MF",Freiburg,2023,Bundesliga,-41.28792787270099
18,-26.335882253070825,-2.2720093079317505,Sargis Adamyan,"FW,MF",Köln,2023,Bundesliga,-24.063872945139074
19,9.650297080403679,-7.524953582166516,Tosin Adarabioyo,DF,Fulham,2023,Premier League,17.175250662570193
20,-11.580331943388474,5.89598514644789,Elijah Adebayo,FW,Luton Town,2023,Premier League,-17.476317089836364
21,-15.05590154885014,0.6651159534535169,Karim Adeyemi,"FW,MF",Dortmund,2023,Bundesliga,-15.721017502303658
22,23.319458037433336,5.133548243470265,Simon Adingra,FW,Brighton,2023,Premier League,18.18590979396307
23,-15.899975722845667,-6.855355910814726,Nathaniel Adjei,DF,Lorient,2023,Ligue 1,-9.044619812030941
24,-3.172895244768944,-2.7205655194632477,Amine Adli,"MF,FW",Leverkusen,2023,Bundesliga,-0.45232972530569615
25,20.93578613781228,-0.033686928938282734,Yacine Adli,MF,Milan,2023,Serie A,20.969473066750563
26,-43.386705304237715,-10.517971963378862,Adryelson,"DF,FW",Lyon,2023,Ligue 1,-32.86873334085885
27,-28.79829222194646,-7.932828425711992,Adson,"MF,FW",Nantes,2023,Ligue 1,-20.86546379623447
28,12.410166910834402,-1.281547176958824,Michel Aebischer,MF,Bologna,2023,Serie A,13.691714087793226
29,41.588765426024885,3.1087921519037547,Emmanuel Agbadou,DF,Reims,2023,Ligue 1,38.47997327412113
30,-43.48441349930931,-6.362046870256882,Lucien Agoume,MF,Inter,2023,Serie A,-37.12236662905243
31,-39.51945506263195,-9.860184926046971,Lucien Agoume,MF,Sevilla,2023,La Liga,-29.65927013658498
32,-12.359105227774778,-2.8687073481766685,Felix Agu,"DF,MF",Werder Bremen,2023,Bundesliga,-9.49039787959811
33,12.774585624323132,6.811320266003432,Nayef Aguerd,DF,West Ham,2023,Premier League,5.9632653583197
34,33.26949091637605,2.1879515295732683,Ruben Aguilar,DF,Lens,2023,Ligue 1,31.08153938680278
35,-55.39206730457143,-10.311596780838853,Brandon Aguilera,FW,Nott'ham Forest,2023,Premier League,-45.08047052373257
36,-29.28862550957313,-6.694710429465505,Naouirou Ahamada,"MF,FW",Crystal Palace,2023,Premier League,-22.593915080107625
37,6.579460174468543,2.2735158519394676,Anel Ahmedhodžić,DF,Sheffield Utd,2023,Premier League,4.305944322529076
38,-30.693071271327586,-9.347697558681599,Joseph Aidoo,DF,Celta Vigo,2023,La Liga,-21.345373712645987
39,-7.230133998063428,-0.27248342130903,Ola Aina,DF,Nott'ham Forest,2023,Premier League,-6.957650576754398
40,27.65499760024864,5.88448176966988,Rayan Aït-Nouri,"DF,MF",Wolves,2023,Premier League,21.770515830578763
41,-24.65278649218555,-2.374391076066046,Tosin Aiyegun,"MF,FW",Lorient,2023,Ligue 1,-22.278395416119505
42,6.297980866471708,-1.7254309646003527,Kristoffer Ajer,DF,Brentford,2023,Premier League,8.02341183107206
43,-19.788965383774933,3.857048168304396,Ludovic Ajorque,FW,Mainz 05,2023,Bundesliga,-23.646013552079328
44,43.0037136279276,6.382385992297353,Manuel Akanji,"DF,MF",Manchester City,2023,Premier League,36.62132763563025
45,-67.57025067548045,-10.384679509747766,Marley Aké,FW,Udinese,2023,Serie A,-57.18557116573268
46,27.82894141190196,-6.913573706983917,Nathan Aké,DF,Manchester City,2023,Premier League,34.742515118885876
47,-4.418303740529446,2.785663953772419,Ilias Akhomach,"MF,FW",Villarreal,2023,La Liga,-7.2039676943018645
48,7.441807622378707,1.537528265520924,Sergio Akieme,DF,Almería,2023,La Liga,5.904279356857783
49,-27.30280006662495,-5.980742606264091,Sergio Akieme,DF,Reims,2023,Ligue 1,-21.32205746036086
50,-40.96766682029386,-10.322344474477253,Ebenezer Akinsanmiro,MF,Inter,2023,Serie A,-30.645322345816602
51,18.83488212757547,1.4172254324611104,Maghnes Akliouche,"MF,FW",Monaco,2023,Ligue 1,17.41765669511436
52,-38.8209460017902,-10.449180235865526,Paul Akouokou,MF,Betis,2023,La Liga,-28.37176576592467
53,-29.897988247140535,-8.981573505914865,Paul Akouokou,MF,Lyon,2023,Ligue 1,-20.916414741225672
54,-29.817058537809896,-3.931440528190401,Jean-Daniel Akpa-Akpro,"MF,DF",Monza,2023,Serie A,-25.885618009619495
55,-67.55705189286148,-10.38038850835219,David Akpan Ankeye,FW,Genoa,2023,Serie A,-57.17666338450929
56,-12.268115207374528,-1.867098645033608,Kevin Akpoguma,DF,Hoffenheim,2023,Bundesliga,-10.40101656234092
57,-5.048989166364751,-4.320077113303726,David Alaba,DF,Real Madrid,2023,La Liga,-0.7289120530610251
58,50.57838877565357,2.373340897790685,Luis Alberto,MF,Lazio,2023,Serie A,48.20504787786289
59,6.764402169203583,-5.322815824939329,Raúl Albiol,DF,Villarreal,2023,La Liga,12.087217994142911
60,-45.477988773889216,-10.517971963378862,Thiago Alcántara,MF,Liverpool,2023,Premier League,-34.96001681051035
61,-31.889454522683295,-6.3845523595518285,Carlos Alcaraz,MF,Juventus,2023,Serie A,-25.504902163131465
62,36.045082909772894,11.745740723638352,Rubén Alcaraz,MF,Cádiz,2023,La Liga,24.299342186134542
63,-2.3024833139084415,0.5231668332220699,Omar Alderete,DF,Getafe,2023,La Liga,-2.8256501471305113
64,-3.95420719155722,14.789315362134165,Iván Alejo,MF,Cádiz,2023,La Liga,-18.743522553691385
